id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
28,9.2,0.4,0.27,2.3,0.064,17.0,88.0,1.00315,3.42,0.62,9.5,5.0
29,8.0,0.6,0.24,1.9,0.062,13.0,86.0,0.9956,3.16,0.44,9.5,6.0
30,10.2,0.18,0.54,2.0,0.0819999999999999,10.0,23.0,0.99648,3.19,0.77,11.8,6.0
31,10.6,0.43,0.49,2.5,0.08,10.0,22.0,0.9982,3.21,0.78,10.5,6.0
32,6.8,0.59,0.03,1.6,0.086,11.0,47.0,0.99546,3.53,0.59,9.4,6.0
33,7.4,0.67,0.21,2.2,0.07,21.0,54.0,0.99608,3.32,0.43,10.1,5.0
34,10.5,0.39,0.42,2.4,0.079,6.0,13.0,0.99718,3.3,0.72,11.0,6.0
35,7.3,0.745,0.0,1.8,0.0819999999999999,6.0,28.0,0.9976,3.53,0.56,9.2,5.0
36,7.8,0.3,0.32,2.2,0.08,15.0,24.0,0.9983,3.41,0.53,9.6,5.0
37,8.4,0.44,0.23,2.0,0.074,17.0,92.0,0.9981,3.47,0.58,9.5,5.0
38,8.9,0.35,0.41,2.0,0.064,26.0,54.0,0.99631,3.3,0.64,11.2,6.0
39,7.6,0.7,0.2,1.9,0.078,6.0,10.0,0.9962,3.31,0.59,11.5,6.0
40,9.0,0.715,0.0,3.7,0.095,5.0,11.0,0.9964,3.45,0.47,9.5,6.0
41,8.9,0.58,0.0,2.2,0.089,27.0,54.0,0.9981,3.34,0.56,11.0,6.0
42,10.0,0.3,0.39,2.0,0.414,17.0,65.0,0.9976,3.53,0.72,11.0,7.0
43,7.8,0.59,0.32,2.1,0.0819999999999999,9.0,23.0,0.99708,3.28,0.57,9.5,5.0
44,10.1,0.45,0.47,1.7,0.081,12.0,28.0,0.99688,3.32,0.69,9.5,5.0
45,7.1,0.66,0.14,1.7,0.0819999999999999,28.0,64.0,0.99362,3.31,0.58,9.4,6.0
46,8.3,0.53,0.24,1.9,0.078,21.0,58.0,0.9994,3.24,0.62,9.5,4.0
47,8.3,0.46,0.31,2.4,0.084,5.0,29.0,0.9963,3.3,0.48,9.9,6.0
48,8.8,0.74,0.02,2.3,0.086,20.0,47.0,0.997,3.57,0.46,9.5,6.0
49,11.8,0.39,0.48,2.3,0.055,6.0,14.0,1.00369,3.3,0.7,9.4,5.0
50,7.6,0.66,0.14,2.2,0.094,6.0,15.0,0.99572,3.2,0.56,9.8,5.0
51,6.7,0.59,0.08,1.5,0.0969999999999999,21.0,44.0,0.9965,3.45,0.47,9.6,5.0
52,7.8,0.49,0.23,2.1,0.08,27.0,44.0,0.99522,3.38,0.54,9.8,5.0
53,9.0,0.52,0.18,1.7,0.079,11.0,48.0,0.9983,3.32,0.66,9.5,6.0
54,8.2,0.5,0.17,2.6,0.106,13.0,28.0,0.9986,3.17,0.57,10.2,5.0
55,8.0,0.43,0.43,2.3,0.066,4.0,15.0,0.99498,3.32,0.6,11.9,7.0
56,8.1,0.35,0.39,2.7,0.08,16.0,43.0,0.9982,3.28,0.55,9.4,7.0
57,7.9,0.51,0.04,2.2,0.067,16.0,46.0,0.9966,3.44,0.55,9.7,5.0
58,8.0,0.53,0.42,2.3,0.068,6.0,12.0,0.99774,3.17,0.73,11.8,7.0
59,8.8,0.33,0.49,2.2,0.087,21.0,46.0,0.9984,3.36,0.91,9.3,5.0
60,7.6,0.735,0.01,2.2,0.074,17.0,92.0,0.9968,3.42,0.55,9.2,6.0
61,9.9,0.38,0.44,2.3,0.092,9.0,24.0,0.9982,3.19,0.81,9.4,5.0
62,7.6,0.69,0.0,1.8,0.078,7.0,28.0,0.996,3.27,0.49,10.7,5.0
63,7.9,0.39,0.24,2.2,0.0819999999999999,6.0,16.0,0.9976,3.42,0.57,9.8,6.0
64,9.3,0.74,0.17,2.5,0.068,5.0,14.0,0.9976,3.14,0.71,12.4,7.0
65,7.6,0.51,0.02,2.1,0.069,16.0,37.0,0.9978,3.39,0.56,10.5,5.0
66,10.0,0.41,0.33,2.3,0.093,39.0,54.0,0.9982,3.35,0.57,11.5,6.0
67,7.6,0.58,0.01,2.2,0.0969999999999999,5.0,8.0,0.9976,3.32,0.55,9.9,5.0
68,7.9,0.59,0.03,1.6,0.096,6.0,14.0,0.9961,3.29,0.78,9.4,5.0
69,6.4,0.63,0.28,2.0,0.078,10.0,24.0,0.9971,3.28,0.61,9.4,3.0
70,6.7,0.34,0.24,1.9,0.077,28.0,59.0,0.99578,3.44,0.46,9.3,5.0
71,6.9,0.48,0.17,2.8,0.069,42.0,54.0,0.9955,3.57,0.62,9.2,5.0
72,7.0,0.73,0.01,2.0,0.074,15.0,35.0,0.9974,3.53,0.57,9.8,5.0
73,7.3,0.615,0.0,2.0,0.092,36.0,58.0,0.9986,3.56,0.73,10.6,7.0
74,7.3,0.3,0.6,1.9,0.084,5.0,11.0,0.9974,3.22,0.58,9.8,5.0
75,7.2,0.43,0.36,2.3,0.064,19.0,28.0,0.9972,3.38,0.56,9.1,6.0
76,6.1,0.57,0.0,2.0,0.066,21.0,38.0,0.9986,3.38,0.58,11.4,6.0
77,11.6,0.41,0.66,2.6,0.104,26.0,62.0,1.0014,3.44,0.66,9.5,4.0
78,7.2,0.675,0.0,1.7,0.08,6.0,11.0,0.9954,3.32,0.82,10.2,8.0
79,10.9,0.68,0.24,2.0,0.088,29.0,59.0,0.9996,3.17,0.61,10.1,6.0
80,7.1,0.58,0.09,2.4,0.068,12.0,28.0,0.99648,3.3,0.77,9.6,5.0
81,7.9,0.695,0.18,2.6,0.0819999999999999,19.0,50.0,0.9976,3.36,0.49,11.0,7.0
82,9.9,0.37,0.49,2.1,0.0819999999999999,6.0,20.0,0.99774,3.18,0.68,9.4,5.0
83,7.1,0.49,0.2,3.0,0.073,17.0,88.0,0.9994,3.45,0.49,9.4,5.0
84,8.3,0.53,0.25,2.1,0.093,10.0,47.0,0.9994,3.3,0.62,9.2,5.0
85,6.0,0.58,0.21,4.3,0.115,16.0,49.0,0.99572,3.12,0.47,10.2,6.0
86,6.6,0.74,0.07,3.0,0.064,20.0,47.0,0.9972,3.51,0.54,12.5,5.0
87,8.1,0.45,0.39,2.6,0.072,27.0,77.0,0.9964,3.43,0.68,9.5,6.0
88,7.9,0.42,0.39,2.6,0.0969999999999999,16.0,35.0,0.99494,3.31,0.55,10.5,5.0
89,7.9,0.69,0.02,1.6,0.084,5.0,31.0,0.9951,3.33,0.57,9.5,5.0
90,7.2,0.67,0.0,2.6,0.0819999999999999,5.0,32.0,0.9974,3.38,0.58,9.4,5.0
91,6.0,0.715,0.02,1.7,0.07,5.0,7.0,0.99745,3.53,0.59,9.9,5.0
92,7.2,0.61,0.0,1.6,0.073,11.0,32.0,0.99472,3.56,0.54,10.7,6.0
93,12.1,0.32,0.57,2.7,0.076,10.0,19.0,0.9972,3.28,0.64,11.9,6.0
94,7.1,0.49,0.09,2.1,0.077,7.0,18.0,0.99562,3.26,0.59,11.5,7.0
95,8.5,0.46,0.28,1.8,0.077,10.0,28.0,0.9982,3.13,0.54,9.9,6.0
96,7.5,0.51,0.1,2.0,0.05,12.0,33.0,0.9976,3.33,0.65,9.4,7.0
97,8.3,0.38,0.6,2.1,0.077,15.0,24.0,0.99704,3.4,0.57,10.2,6.0
98,7.9,0.46,0.3,2.4,0.048,16.0,33.0,0.9979,3.28,0.63,11.3,7.0
99,7.6,0.48,0.23,2.1,0.109,15.0,20.0,0.9964,3.18,0.67,10.0,7.0
100,9.9,0.34,0.49,5.8,0.07,5.0,12.0,0.9987,3.22,0.59,9.5,6.0
101,6.7,0.58,0.08,1.8,0.076,9.0,18.0,0.99546,3.44,0.56,12.1,6.0
102,10.4,0.43,0.44,2.3,0.066,6.0,13.0,0.9961,3.17,0.62,9.4,6.0
103,6.4,0.34,0.32,1.7,0.081,7.0,33.0,0.9984,3.31,0.7,9.4,5.0
104,6.5,0.645,0.0,2.1,0.0969999999999999,20.0,49.0,0.99586,3.39,0.52,10.5,6.0
105,7.7,0.5,0.09,1.9,0.093,16.0,65.0,0.997,3.35,0.58,9.2,6.0
106,7.1,0.745,0.07,1.8,0.084,19.0,49.0,0.9968,3.4,0.57,9.5,7.0
107,6.8,0.58,0.0,3.0,0.084,3.0,11.0,0.99572,3.4,0.64,11.2,7.0
108,8.2,0.49,0.24,2.5,0.077,5.0,13.0,0.99672,3.26,0.59,9.8,6.0
109,9.9,0.51,0.31,1.8,0.077,12.0,46.0,0.9984,3.22,0.78,9.4,5.0
110,7.1,0.61,0.0,1.7,0.039,3.0,12.0,0.9976,3.62,0.59,9.6,5.0
111,8.1,0.6,0.0,1.8,0.078,7.0,17.0,0.9982,3.42,0.57,10.2,6.0
112,11.2,0.37,0.47,2.4,0.075,6.0,28.0,0.9972,3.4,0.93,10.0,5.0
113,7.9,0.57,0.26,2.4,0.078,15.0,33.0,0.9973,3.16,0.5,10.7,5.0
114,8.8,0.59,0.37,1.9,0.096,18.0,77.0,0.99552,3.22,0.53,9.4,5.0
115,5.1,0.955,0.02,2.0,0.071,25.0,52.0,0.9966,3.44,0.76,11.5,7.0
116,7.7,0.66,0.02,2.1,0.077,17.0,40.0,0.99458,3.43,0.59,10.0,5.0
117,10.4,0.52,0.49,1.8,0.075,5.0,14.0,0.9994,3.1,0.62,11.7,6.0
118,7.9,0.69,0.0,1.9,0.077,15.0,26.0,0.99562,3.49,0.53,11.3,6.0
119,9.4,0.43,0.25,2.7,0.086,25.0,43.0,0.99616,3.4,0.57,9.4,5.0
120,7.7,0.54,0.02,1.7,0.095,14.0,45.0,0.99746,3.31,0.51,9.5,6.0
121,7.4,0.43,0.32,2.0,0.061,10.0,20.0,0.9976,3.45,0.56,10.4,6.0
122,7.9,0.5,0.02,1.7,0.074,21.0,38.0,0.9987,3.49,0.58,9.2,6.0
123,7.4,0.6,0.1,2.5,0.077,14.0,28.0,0.997,3.38,0.53,11.5,7.0
124,9.0,0.48,0.42,2.5,0.077,6.0,19.0,0.99572,3.18,0.63,10.5,4.0
125,8.4,0.48,0.24,2.1,0.076,6.0,18.0,0.998,3.4,0.56,10.2,6.0
126,7.3,0.47,0.24,2.2,0.069,21.0,54.0,0.99836,3.38,0.61,9.3,6.0
127,8.1,0.34,0.34,2.3,0.084,23.0,94.0,0.9972,3.22,0.71,9.2,5.0
128,7.4,0.61,0.0,2.5,0.078,11.0,31.0,0.9994,3.52,0.54,11.5,6.0
129,7.8,0.58,0.04,1.6,0.083,27.0,52.0,0.9997,3.32,0.54,10.4,6.0
130,6.9,0.59,0.02,2.4,0.098,26.0,59.0,0.99586,3.36,0.58,9.8,5.0
131,7.0,0.63,0.06,1.4,0.074,6.0,20.0,0.9976,3.47,0.52,9.5,5.0
132,8.9,0.38,0.49,2.1,0.076,12.0,46.0,0.997,3.1,0.78,10.8,7.0
133,7.8,0.64,0.07,2.0,0.079,6.0,18.0,0.99622,3.23,0.83,10.8,5.0
134,8.4,0.48,0.49,2.5,0.09,7.0,16.0,0.9988,3.23,0.46,9.5,5.0
135,8.1,0.58,0.28,2.2,0.08,7.0,20.0,0.99668,3.39,0.77,9.2,5.0
136,7.3,0.59,0.04,2.6,0.066,12.0,88.0,0.99498,3.29,0.57,9.5,6.0
137,9.3,0.27,0.49,1.9,0.074,3.0,14.0,0.9974,3.42,0.46,9.1,5.0
138,9.3,0.645,0.01,2.0,0.073,6.0,14.0,0.99689,3.32,0.54,12.8,7.0
139,7.1,0.645,0.08,2.6,0.063,11.0,40.0,0.9976,3.37,0.57,11.5,6.0
140,9.1,0.36,0.49,2.0,0.0819999999999999,23.0,77.0,0.99396,3.17,0.59,11.2,7.0
141,7.6,0.7,0.02,1.8,0.077,6.0,12.0,0.9978,3.35,0.63,9.5,5.0
142,7.8,0.46,0.14,1.9,0.066,12.0,34.0,0.9994,3.26,0.77,10.3,6.0
143,9.9,0.31,0.48,2.2,0.091,11.0,18.0,0.9967,3.12,0.65,10.2,6.0
144,8.8,0.39,0.45,2.1,0.072,18.0,42.0,0.99525,3.4,0.77,11.5,6.0
145,7.0,0.6,0.0,1.4,0.064,11.0,24.0,0.99656,3.41,0.55,9.3,6.0
146,7.5,0.735,0.2,2.0,0.071,22.0,58.0,0.9966,3.46,0.54,9.9,6.0
147,8.9,0.49,0.2,2.0,0.064,24.0,44.0,0.9964,3.4,0.7,9.5,5.0
148,6.4,0.5,0.17,1.8,0.092,26.0,58.0,0.99704,3.28,0.59,9.2,5.0
149,8.5,0.52,0.24,2.2,0.092,14.0,47.0,0.9973,3.26,0.46,10.5,5.0
150,6.6,0.62,0.07,1.6,0.063,11.0,31.0,0.99652,3.47,0.67,9.8,6.0
151,7.7,0.6,0.0,2.3,0.079,5.0,12.0,0.99562,3.23,0.44,10.4,6.0
152,7.7,0.66,0.02,2.1,0.067,5.0,19.0,0.9976,3.27,0.57,11.1,6.0
153,8.0,0.56,0.14,1.9,0.08,5.0,13.0,0.9973,3.38,0.57,10.9,6.0
154,7.4,0.41,0.41,1.7,0.079,15.0,28.0,0.9982,3.29,0.73,9.7,5.0
155,7.1,0.5,0.24,2.4,0.081,18.0,31.0,0.997,3.36,0.54,12.4,7.0
156,6.8,0.56,0.0,5.2,0.084,5.0,12.0,0.9972,3.28,0.54,11.4,7.0
157,8.6,0.36,0.32,2.1,0.079,18.0,39.0,0.9988,3.3,0.53,10.8,6.0
158,6.1,0.56,0.03,1.9,0.079,7.0,20.0,0.9968,3.36,0.56,10.5,7.0
159,7.2,1.04,0.02,2.3,0.076,6.0,24.0,0.99546,3.42,0.53,9.5,5.0
160,7.4,0.57,0.25,1.8,0.0819999999999999,17.0,43.0,0.9974,3.16,0.6,9.8,5.0
161,7.1,0.58,0.02,2.1,0.08,28.0,67.0,0.9991,3.35,0.54,9.5,5.0
162,9.5,0.38,0.43,1.8,0.0819999999999999,15.0,35.0,0.99656,3.27,0.72,10.0,5.0
163,9.4,0.58,0.0,2.5,0.072,5.0,15.0,0.9984,3.48,0.7,10.1,7.0
164,8.3,0.4,0.24,2.8,0.073,34.0,59.0,0.9966,3.32,0.51,9.4,6.0
165,6.8,0.51,0.02,2.2,0.074,12.0,46.0,0.99704,3.45,0.46,9.5,6.0
166,9.1,0.46,0.26,2.5,0.077,27.0,66.0,0.9972,3.44,0.6,9.8,6.0
167,6.6,0.53,0.02,2.1,0.074,5.0,16.0,0.9962,3.47,0.58,11.0,6.0
168,6.1,0.47,0.17,1.8,0.093,5.0,19.0,0.9961,3.42,0.57,10.5,6.0
169,7.4,0.29,0.49,2.1,0.0819999999999999,12.0,24.0,0.9982,3.36,0.6,9.4,6.0
170,7.1,0.59,0.02,2.6,0.063,8.0,18.0,0.9976,3.46,0.46,10.0,4.0
171,8.6,0.4,0.51,1.9,0.0819999999999999,3.0,9.0,0.99258,3.27,0.87,9.9,5.0
172,8.0,0.66,0.08,2.4,0.104,26.0,49.0,0.99458,3.31,0.68,11.4,6.0
173,6.9,0.46,0.1,1.9,0.0579999999999999,12.0,37.0,0.99566,3.27,0.57,11.8,6.0
174,6.8,0.39,0.24,2.1,0.091,19.0,42.0,0.99444,3.47,0.76,11.0,6.0
175,11.4,0.43,0.45,2.2,0.084,10.0,18.0,0.9963,3.27,0.56,10.2,6.0
176,6.2,0.41,0.21,2.2,0.084,8.0,25.0,0.9982,3.53,0.62,9.5,6.0
177,7.1,0.59,0.0,2.1,0.077,26.0,48.0,0.9983,3.42,0.45,9.2,6.0
178,12.6,0.61,0.26,2.1,0.09,7.0,23.0,0.9955,3.08,0.66,11.6,7.0
179,9.8,0.26,0.3,2.5,0.079,5.0,21.0,0.99642,3.42,0.64,11.3,4.0
180,7.2,0.36,0.34,1.9,0.073,19.0,42.0,0.9967,3.34,0.55,9.5,5.0
181,7.6,0.46,0.24,2.0,0.095,8.0,26.0,0.99572,3.27,0.57,9.8,6.0
182,8.5,0.745,0.06,2.2,0.072,31.0,124.0,0.9988,3.36,0.58,9.2,5.0
183,9.1,0.22,0.47,2.1,0.071,8.0,25.0,0.99648,3.16,0.57,10.2,5.0
184,8.1,0.44,0.44,3.4,0.0819999999999999,8.0,28.0,0.99786,3.34,0.67,11.3,6.0
185,7.9,0.785,0.1,2.0,0.083,12.0,35.0,0.9982,3.43,0.6,9.2,5.0
186,7.1,0.58,0.21,2.3,0.07,6.0,18.0,0.99786,3.33,0.55,9.8,5.0
187,7.5,0.6,0.22,2.0,0.07,10.0,41.0,0.9965,3.14,0.52,9.9,6.0
188,7.6,0.695,0.1,1.7,0.077,5.0,13.0,0.99736,3.32,0.57,9.4,5.0
189,7.6,0.47,0.22,2.9,0.095,16.0,34.0,0.99494,3.26,0.61,9.8,5.0
190,7.0,0.6,0.02,2.0,0.074,12.0,86.0,0.9964,3.39,0.48,9.8,5.0
191,7.1,0.48,0.4,2.1,0.105,13.0,31.0,0.99668,3.33,0.56,12.8,7.0
192,8.7,0.36,0.3,2.2,0.081,7.0,40.0,0.997,3.1,0.54,9.9,5.0
193,8.8,0.43,0.43,2.2,0.0819999999999999,16.0,58.0,0.9986,3.22,0.62,9.9,5.0
194,9.0,0.46,0.24,2.2,0.072,26.0,44.0,0.9962,3.3,0.55,9.4,5.0
195,10.6,0.24,0.49,2.0,0.075,5.0,16.0,0.999,3.37,0.52,11.5,8.0
196,12.9,0.39,0.59,2.2,0.08,6.0,19.0,0.9991,3.24,0.49,10.5,6.0
197,8.3,0.39,0.49,3.2,0.076,20.0,41.0,0.99803,3.17,0.62,11.0,6.0
198,7.1,0.735,0.0,1.4,0.0579999999999999,10.0,18.0,0.995,3.47,0.55,9.2,6.0
199,7.9,0.69,0.0,1.9,0.087,5.0,13.0,0.9973,3.26,0.58,9.5,6.0
200,6.7,0.6,0.02,2.4,0.069,11.0,21.0,0.997,3.51,0.54,13.566666666666698,7.0
201,8.9,0.47,0.36,2.0,0.095,17.0,69.0,0.9981,3.31,0.92,11.2,7.0
202,6.3,0.74,0.0,2.1,0.087,12.0,47.0,0.99354,3.2,0.53,12.3,7.0
203,6.0,0.61,0.2,2.1,0.078,17.0,42.0,0.99786,3.29,0.62,10.2,6.0
204,7.0,0.31,0.41,2.4,0.0969999999999999,17.0,45.0,0.99616,3.26,0.54,9.4,5.0
205,7.1,0.6,0.14,1.9,0.094,16.0,64.0,0.9976,3.24,0.57,9.7,5.0
206,8.9,0.38,0.24,2.3,0.085,6.0,20.0,0.99258,3.44,0.53,9.5,6.0
207,8.7,0.61,0.21,2.9,0.08,5.0,28.0,0.9962,3.42,0.49,9.5,6.0
208,7.2,0.28,0.56,2.1,0.076,9.0,18.0,0.9959,3.26,0.59,9.5,6.0
209,10.1,0.35,0.42,1.9,0.093,6.0,14.0,1.0021,3.27,0.6,9.3,5.0
210,7.9,0.53,0.01,1.8,0.094,26.0,55.0,0.9974,3.44,0.58,9.5,5.0
211,7.0,0.7,0.0,2.2,0.066,12.0,45.0,0.9966,3.46,0.86,11.8,6.0
212,7.2,0.49,0.14,2.2,0.08,7.0,28.0,0.99648,3.31,0.49,9.5,5.0
213,11.4,0.3,0.49,2.2,0.08,5.0,11.0,0.9994,3.3,0.61,10.4,6.0
214,7.5,0.31,0.31,1.9,0.0819999999999999,16.0,39.0,0.99652,3.36,0.59,9.4,6.0
215,7.4,0.7,0.02,1.7,0.0819999999999999,10.0,22.0,0.9988,3.35,0.54,9.2,5.0
216,8.0,0.46,0.45,1.9,0.07,16.0,44.0,0.9994,3.23,0.77,9.4,4.0
217,7.8,0.66,0.0,2.1,0.071,6.0,12.0,0.99612,3.51,1.04,10.8,7.0
218,7.7,0.5,0.09,2.1,0.087,7.0,32.0,0.9964,3.31,0.55,10.3,5.0
219,9.9,0.27,0.28,1.7,0.092,22.0,63.0,0.9948,3.4,0.58,9.7,5.0
220,8.4,0.6,0.24,2.1,0.084,18.0,119.0,0.9982,3.39,0.46,9.5,5.0
221,9.2,0.35,0.42,2.7,0.0819999999999999,6.0,47.0,0.9987,3.25,0.54,11.2,6.0
222,6.7,0.67,0.15,1.9,0.085,5.0,15.0,0.9982,3.25,0.59,10.9,6.0
223,7.6,0.725,0.04,2.1,0.07,19.0,50.0,0.99648,3.37,0.48,11.2,5.0
224,6.8,0.59,0.21,2.17,0.074,4.0,12.0,0.9963,3.41,0.85,9.5,6.0
225,6.2,0.685,0.0,2.4,0.076,7.0,16.0,0.9973,3.51,0.54,10.4,5.0
226,8.0,0.36,0.28,1.7,0.077,24.0,43.0,0.99668,3.39,0.63,9.0,5.0
227,10.4,0.51,0.0,2.1,0.081,6.0,14.0,0.9994,3.17,0.81,10.4,6.0
228,7.2,0.67,0.18,2.4,0.073,25.0,77.0,0.9996,3.28,0.54,9.4,5.0
229,9.7,0.38,0.49,1.9,0.0819999999999999,15.0,42.0,1.001,3.29,0.64,9.3,5.0
230,11.3,0.52,0.44,2.3,0.078,17.0,44.0,0.9986,3.18,0.77,9.4,5.0
231,8.9,0.54,0.19,2.3,0.074,21.0,58.0,0.9966,3.19,0.55,9.5,5.0
232,7.6,0.46,0.29,2.1,0.0969999999999999,24.0,49.0,0.99668,3.33,0.66,12.3,7.0
233,10.0,0.22,0.54,2.5,0.073,6.0,17.0,0.9981,3.07,0.57,9.4,6.0
234,6.8,0.47,0.26,1.9,0.083,6.0,15.0,0.99745,3.24,0.53,9.7,6.0
235,8.5,0.58,0.29,1.8,0.0969999999999999,32.0,64.0,0.9988,3.21,0.58,9.2,6.0
236,10.0,0.57,0.33,2.3,0.079,9.0,33.0,0.99668,3.31,0.58,12.8,7.0
237,7.0,0.29,0.12,1.6,0.079,9.0,37.0,0.99704,3.37,0.69,9.9,5.0
238,7.9,0.6,0.0,2.8,0.077,29.0,64.0,0.9965,3.61,0.63,9.5,6.0
239,7.0,0.49,0.0,1.9,0.077,16.0,46.0,0.99652,3.34,0.53,9.4,6.0
240,7.0,0.58,0.18,2.2,0.0819999999999999,6.0,23.0,0.9962,3.36,0.55,11.4,6.0
241,11.5,0.35,0.34,2.3,0.09,5.0,33.0,0.9987,3.18,0.62,9.5,5.0
242,8.9,0.48,0.4,2.1,0.073,5.0,15.0,0.99388,3.21,0.7,12.8,5.0
243,7.9,0.28,0.39,2.4,0.0819999999999999,13.0,31.0,0.9991,3.17,0.43,9.5,6.0
244,10.4,0.55,0.21,2.6,0.061,31.0,50.0,0.9955,3.12,0.62,9.8,5.0
245,7.2,0.45,0.24,2.0,0.091,6.0,16.0,0.9964,3.36,0.74,10.0,6.0
246,8.8,0.4,0.37,2.0,0.074,8.0,23.0,0.9974,3.26,1.18,11.5,5.0
247,7.3,0.41,0.21,2.2,0.09,14.0,31.0,0.9978,3.27,0.53,9.7,5.0
248,6.6,0.66,0.0,2.0,0.066,17.0,44.0,0.997,3.54,0.46,9.2,6.0
249,6.9,0.24,0.39,2.6,0.07,6.0,23.0,0.99418,3.42,0.64,10.9,5.0
250,7.4,0.735,0.01,1.7,0.077,21.0,28.0,0.9966,3.57,0.65,12.9,7.0
251,8.9,0.44,0.19,2.0,0.073,7.0,31.0,0.9955,3.32,0.51,11.6,6.0
252,11.3,0.69,0.44,1.9,0.073,6.0,13.0,0.9976,3.25,0.73,11.9,8.0
253,7.3,0.35,0.24,2.6,0.07,14.0,28.0,0.99672,3.37,0.61,9.5,5.0
254,8.2,0.66,0.0,2.1,0.076,8.0,19.0,0.9968,3.5,0.65,10.4,6.0
255,7.9,0.47,0.24,2.0,0.079,14.0,42.0,0.99572,3.31,0.53,11.1,7.0
256,7.2,0.51,0.24,2.0,0.08,33.0,70.0,0.99616,3.29,0.59,9.6,5.0
257,7.6,0.58,0.02,1.5,0.078,10.0,35.0,0.9963,3.54,0.62,11.0,5.0
258,6.1,0.31,0.49,2.5,0.091,14.0,62.0,0.9968,3.42,0.45,10.4,6.0
259,8.0,0.43,0.49,2.0,0.072,10.0,25.0,0.99608,3.3,0.93,11.3,7.0
260,8.9,0.29,0.44,2.1,0.077,17.0,40.0,0.9982,3.35,0.59,11.5,7.0
261,10.5,0.74,0.2,1.8,0.084,17.0,45.0,0.99572,3.16,0.6,11.8,7.0
262,8.4,0.6,0.24,1.2,0.059,9.0,24.0,0.9963,3.37,0.81,10.4,5.0
263,8.0,0.44,0.3,2.4,0.078,34.0,55.0,0.9964,3.33,0.73,10.8,5.0
264,7.5,0.45,0.0,1.7,0.078,6.0,16.0,0.99546,3.38,0.74,12.3,7.0
265,8.9,0.5,0.2,2.0,0.079,6.0,30.0,0.9972,3.3,0.61,9.6,6.0
266,11.3,0.36,0.66,2.2,0.104,3.0,12.0,0.9978,3.1,0.51,10.9,6.0
267,9.8,0.31,0.39,2.3,0.09,7.0,18.0,0.9982,3.2,0.55,10.4,5.0
